,time,Power Generation Instant (MW),Amb. Temp Instant,GTI Instant,Humidity Instant,day
88,2023-01-10 22:16:23,-0.0738,14.67,0.0,74.45,10
89,2023-01-10 22:11:12,-0.0728,14.5,0.0,74.4207,10
90,2023-01-10 22:06:12,-0.073,14.37,0.0,74.6846,10
91,2023-01-10 22:01:11,-0.0744,14.58,0.0,74.8018,10
92,2023-01-10 21:56:01,-0.0735,14.27,0.0,74.4207,10
93,2023-01-10 21:50:57,-0.0715,14.17,0.0,74.2152,10
94,2023-01-10 21:45:56,-0.0718,14.12,0.0,74.0097,10
95,2023-01-10 21:40:56,-0.0723,14.1,0.0,74.2446,10
96,2023-01-10 21:35:55,-0.0731,14.2,0.0,75.1823,10
97,2023-01-10 21:30:52,-0.0725,14.48,0.0,75.0945,10
98,2023-01-10 21:25:41,-0.0729,14.69,0.0,74.9775,10
99,2023-01-10 21:20:41,-0.074,14.75,0.0,74.6846,10
100,2023-01-10 21:15:31,-0.0728,14.85,0.0,74.3033,10
101,2023-01-10 21:10:30,-0.0735,14.88,0.0,74.1565,10
102,2023-01-10 21:05:29,-0.0731,14.8,0.0,73.9803,10
103,2023-01-10 21:00:29,-0.0741,14.82,0.0,74.3913,10
104,2023-01-10 20:55:28,-0.0729,14.86,0.0,74.274,10
105,2023-01-10 20:50:18,-0.0729,14.9,0.0,73.5098,10
106,2023-01-10 20:45:07,-0.0732,14.98,0.0,73.392,10
107,2023-01-10 20:40:07,-0.0735,15.07,0.0,73.2153,10
108,2023-01-10 20:34:57,-0.0739,15.21,0.0,72.7434,10
109,2023-01-10 20:29:57,-0.0739,15.37,0.1363,72.3594,10
110,2023-01-10 20:24:56,-0.0722,15.42,0.0,72.8319,10
111,2023-01-10 20:19:55,-0.0725,15.27,0.0,72.8909,10
112,2023-01-10 20:14:52,-0.0732,15.25,0.0,73.8921,10
113,2023-01-10 20:09:51,-0.0739,15.14,0.0,73.8333,10
114,2023-01-10 20:04:51,-0.0735,15.04,0.0,73.1268,10
115,2023-01-10 19:59:50,-0.073,14.9,0.0,72.6548,10
116,2023-01-10 19:54:49,-0.0726,15.06,0.0,72.9794,10
117,2023-01-10 19:49:40,-0.0724,15.21,0.0,73.4509,10
118,2023-01-10 19:44:39,-0.0737,15.22,0.0,72.9499,10
119,2023-01-10 19:39:29,-0.0727,15.28,0.0119,71.6787,10
120,2023-01-10 19:34:28,-0.072,15.38,0.0,70.9667,10
121,2023-01-10 19:29:28,-0.0722,15.38,0.0,72.4481,10
122,2023-01-10 19:24:27,-0.0722,15.43,0.0,71.5602,10
123,2023-01-10 19:19:27,-0.0726,15.52,0.0,70.491,10
124,2023-01-10 19:14:26,-0.0731,15.43,0.2798,69.925,10
125,2023-01-10 19:09:25,-0.0723,15.47,0.0,69.7759,10
126,2023-01-10 19:04:25,-0.0731,15.62,0.0,71.2933,10
127,2023-01-10 18:59:21,-0.0724,15.71,0.0714,70.7884,10
128,2023-01-10 18:54:21,-0.0719,15.74,0.0,71.1746,10
129,2023-01-10 18:49:20,-0.0725,15.74,0.0,68.9991,10
130,2023-01-10 18:44:19,-0.0731,15.86,0.017,69.1785,10
